purpose,priority
Возврат займа контрагенту 70527 (Российская электроника) (НПО «Лебедева»),5
Срочный: Платеж за поставку канцтоваров 28376 (ИП «Исаева»),5
Перечисление средств по исп. документу 61925 о возмещении вреда жизни Золотой,1
"ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 8341, ИНН 851161374254",5
Перечисление за аренду офиса 3495 без НДС от 29.06.2024,5
Платеж за уборку помещений 90145 (основание: договор 702) Темно-синий,5
Срочный: Оплата услуг охраны 68799,5
"Срочный: Оплата услуг охраны 81916, ИНН 600530581461",5
СРОЧНЫЙ: БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 55852 С НДС,5
"Перечисление НДФЛ за сотрудников по платежке 82629 (ЗАО «Лобанова, Кулакова и Шестаков»)",3
"ЕНВД за отчетный период 59415, ИНН 138147107494",3
СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 1112 Светло-зеленый,3
Срочный: Платеж за поставку канцтоваров 78341 Темно-оранжевый Розовато-лавандовый,5
Исполнительный лист №94875 о возмещении вреда здоровью от 11.12.2024,1
Оплата банковских услуг 25991 (ИП «Михайлов Миронова»),5
Срочный: Платеж за уборку помещений 69488,5
"ЕНВД за отчетный период 78161, ИНН 915450284649 (основание: договор 765)",3
Срочный: Срочный: Медицинская компенсация по судебному решению 70591 от 07.03.2025,1
СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 53095 (АО «САЗОНОВА»),3
"Срочный: Оплата услуг связи по договору 81309, ИНН 298978722880, ИНН 616361243176",5
Земельный налог 88363 (основание: договор 105),3
Пенсионные взносы за Июль 2023 36211 без НДС без НДС,3
Перечисление средств по исп. документу 32609 о возмещении вреда жизни от 05.02.2025 (Сазонов Лимитед),1
Срочный: Платеж за уборку помещений 84411 (основание: договор 174),5
Срочный: Платеж за юридические услуги 33359 Темный хаки (Мария-Ра),5
Благотворительное пожертвование 55709 (основание: договор 395),5
ЕНВД за отчетный период 74891 от 29.06.2024 без НДС,3
Срочный: Срочный: Платеж за проведение тренинга 55614,5
"Оплата рекламных услуг 20641, ИНН 962558368563",5
НАЛОГ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ 90879,3
Срочный: Оплата услуг охраны 97335,5
УСН платеж 48211 (основание: договор 105),3
"Перечисление за программное обеспечение 89873 (Михайлов Лтд) (ИП «Нестерова, Комиссарова и Федосеев»)",5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 60714,5
Перечисление за программное обеспечение 51022 от 29.07.2024,5
"Оплата рекламных услуг 70786 (основание: договор 394), ИНН 156009622504",5
Оплата рекламных услуг 72735 с НДС,5
"Взыскание алиментов по исп. листу 8781 Светло-желтый (ЗАО «Соболева, Михеева и Миронов»)",1
Оплата услуг охраны 35432 от 14.08.2024,5
"Оплата услуг связи по договору 89211, ИНН 249744258051 (основание: договор 214)",5
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 74549 с НДС,5
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 23602 Темно-серый,5
Оплата командировочных расходов 25664 (основание: договор 952) от 10.08.2024,5
Срочный: Благотворительное пожертвование 46087 (АО «Овчинников Красильников»),5
Перечисление за аренду офиса 32239 (Федорова и партнеры),5
Возмещение ущерба здоровью по исп. листу 68680 (Уварова и партнеры) Темно-зеленый с НДС,1
Пенсионные взносы за Июль 2023 78653 без НДС (основание: договор 751),3
Премия по договору ИНН 275069855488 без НДС,5
"Перечисление за аренду офиса 20931, ИНН 382374295601 (основание: договор 259)",5
Перечисление НДФЛ за сотрудников по перечислениеке 98573 (основание: договор 531),3
"Благотворительное пожертвование 55093, ИНН 890235707243",5
Земельный налог 84693 от 15.09.2024,3
Платеж за проведение тренинга 64609 (Савельев Инкорпорэйтед),5
НДС за 2 квартал 2023 77212 Бледно-зеленый (основание: договор 942),3
ФСС: взносы на травматизм 8050 (основание: договор 593),3
"Платеж по страховому случаю 17305 (вред здоровью) от 27.02.2025, ИНН 860173630849",1
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 55339 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ СВЕТЛО-ГОЛУБОЙ,1
"Срочный: Благотворительное пожертвование 63398, ИНН 881439305127 Аквамарин",5
Платеж за проведение тренинга 26375,5
Медицинская компенсация по судебному решению 58890 Темно-оранжевый,1
Страховые взносы в ПФР по квитанции 70146 (основание: договор 802),3
Земельный налог 83625 от 01.12.2024 без НДС (ОАО «Кабанова»),3
Таможенные перечислениеи по декларации 62889,3
ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 3058 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ,1
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 44825 (ТИХОНОВА ЛИМИТЕД),1
Срочный: Налог на имущество организаций 55631 без НДС,3
ОПЛАТА БАНКОВСКИХ УСЛУГ 1593 РОЗОВАТО-ЛАВАНДОВЫЙ (основание: договор 870),5
ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 15150 без НДС,5
Срочный: Срочный: Пенсионные отчисления за Июль 2023 4876,3
Доплата по накладной БИК 719949939,3
Срочный: Уплата транспортного налога 60561,3
"Срочный: Медицинская компенсация по судебному решению 53787, ИНН 422646334521",1
Доплата по контракту БИК 715293412 срочно,1
Срочный: Платеж за поставку канцтоваров 11974,5
Срочный: ЕНВД за отчетный период 51911 (основание: договор 836),3
"Возврат займа контрагенту 25134 (ОАО «Зыков»), ИНН 241793365530",5
Платеж за поставку канцтоваров 24392 (Вайлдберриз) от 17.10.2024 Темно-оранжевый,5
Срочный: Перечисление за аренду офиса 55099 (основание: договор 789),5
Срочный: Оплата услуг охраны 19792,5
"Оплата услуг связи по договору 20945 (ОАО «Гущин, Беспалова и Доронин»), ИНН 210625998451",5
"ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 46278 (ОСНОВАНИЕ: ДОГОВОР 539), ИНН 340233533603",5
Платеж за поставку канцтоваров 50213 Темно-бирюзовый,5
Срочный: Платеж за поставку канцтоваров 37374 от 08.12.2024 Темно-бирюзовый,5
Таможенные перечислениеи по декларации 75751 от 02.04.2025 от 29.07.2024,3
Платеж за проведение тренинга 36417 от 01.09.2024 Серебряный,5
Перечисление за программное обеспечение 82518 от 27.03.2025 Сливовый,5
Платеж за проведение тренинга 77733 Бирюзовый от 29.05.2025 (основание: договор 906),5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 55233 ОТ 24.09.2024 ПУРПУРНЫЙ,5
"Страховые взносы в ПФР по квитанции 63042 (ИП «Афанасьева Лукина»), ИНН 865526364333",3
СРОЧНЫЙ: ОПЛАТА БАНКОВСКИХ УСЛУГ 18104 С НДС,5
Перечисление по акту без НДС БИК 546113016,5
Срочный: Возврат займа контрагенту 59513 с НДС (АО «Никонов Попов»),5
"ФСС: взносы на травматизм 88634 (ИП «Никитин, Терентьев и Соболева»)",3
ФСС: отчисления на травматизм 97585 (основание: договор 561),3
Перечисление за аренду оборудования 68453 (основание: договор 776) (НПО «Ефимова-Брагин»),5
"Налоговый платеж в бюджет РФ номер 75100 Каштановый (НПО «Фомичев, Макарова и Попов»)",3
Оплата хостинга за Июль 37165 (Трансмашхолдинг) с НДС,5
"Срочный: Таможенные платежи по декларации 71168 (ООО «Шубина Лебедев») (ИП «Цветков, Блинов и Дорофеев»)",3
Уплата транспортного налога 33943 (ЗАО «Кулагин Родионов») Желто-зеленый без НДС,3
СРОЧНЫЙ: ВОДНЫЙ НАЛОГ 71370,3
Компенсация морального вреда по решению суда 22456 с НДС,1
Платеж по страховому случаю 85877 (вред здоровью) Слоновая кость (основание: договор 677),1
"Срочный: ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 48237, ИНН 414666742675",5
Срочный: Перечисление за программное обеспечение 23152 от 26.10.2024 Бледно-зеленый,5
Платеж за юридические услуги 4078,5
Перечисление средств по исп. документу 9984 о возмещении вреда жизни Темно-оранжевый с НДС,1
Срочный: Перечисление средств по исп. документу 8395 о возмещении вреда жизни,1
УСН перечисление 18596 (основание: договор 918),3
"НДС за 2 квартал 2023 1828 Лазурный, ИНН 754980094656, ИНН 962596278223",3
"Платежное поручение на налог на прибыль 3054, ИНН 107100536544",3
ВОДНЫЙ НАЛОГ 43141,3
Оплата банковских услуг 37145 от 24.02.2025 (Кононов Групп),5
Компенсация морального вреда по решению суда 84962 (основание: договор 822) (основание: договор 447),1
"Исполнительное производство 75348 о возмещении вреда здоровью (основание: договор 817) Шоколадный, ИНН 932320244383",1
Перечисление за аренду оборудования 52162 Коричневый (ОАО «Савин Евсеев») Бирюзовый,5
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 10876 ЛАЗУРНЫЙ (основание: договор 535),1
Пенсионные взносы за Июль 2023 69351 (Росатом),3
ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 20643 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ БЕЗ НДС,1
"Платежное поручение на налог на прибыль 55576, ИНН 342458202038",3
ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 45653 (ВРЕД ЗДОРОВЬЮ) (РАО «ЕРШОВ МОРОЗОВА») (основание: договор 907),1
Компенсация морального вреда по решению суда 45446 Красный,1
Оплата командировочных расходов 41625 (АО «Игнатьева Суворова»),5
"Взыскание алиментов по исп. листу 24682, ИНН 973265875159",1
Платеж за юридические услуги 35259 без НДС (ОАО «Пахомова»),5
"Налог на имущество организаций 67684 (ОАО «Белов»), ИНН 772028422272, ИНН 388564477104",3
"Возврат займа контрагенту 29441, ИНН 540972612380",5
Оплата банковских услуг 4843 от 12.09.2024,5
Срочный: НДС за 2 квартал 2023 40624 (ИП «Фадеев-Журавлев»),3
Уплата транспортного налога 55209,3
Срочный: Платежное поручение на налог на прибыль 67698 Темно-фиолетовый,3
Оплата банковских услуг 95892,5
Возврат займа контрагенту 29374 от 10.02.2025 от 09.02.2025 Сине-фиолетовый,5
"Налоговый перечисление в бюджет РФ №63690, ИНН 761749674712",3
ЕНВД за отчетный период 91012 Каштановый от 07.04.2025 (НПО «Зиновьев»),3
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 54530 СВЕТЛО-ЖЕЛТЫЙ,5
"Оплата услуг связи по договору 94583, ИНН 871194788745, ИНН 638698861933",5
"ПЕРЕЧИСЛЕНИЕ НДФЛ ЗА СОТРУДНИКОВ ПО ПЛАТЕЖКЕ 80226, ИНН 681695466577 Бледно-Бирюзовый",3
ЗЕМЕЛЬНЫЙ НАЛОГ 19054,3
ЕНВД за отчетный период 21982 от 12.07.2024,3
Платежное поручение на налог на прибыль 12425 (ОАО «Суханов»),3
"Платеж за поставку канцтоваров 41886, ИНН 700684297237 от 20.07.2024",5
Оплата банковских услуг 99023 (основание: договор 545) (основание: договор 416) Аквамарин,5
Возврат за работу БИК 761550180,3
Оплата банковских услуг 58305 (Рыбакова Лимитед) (основание: договор 257),5
"Оплата банковских услуг 17985 без НДС, ИНН 293107589360",5
Срочный: Возврат займа контрагенту 19170 от 03.05.2025 (РАО «Дементьева Рябов»),5
"Платеж за юридические услуги 10838 (АО «Лапина, Карпова и Лебедев»)",5
"Платеж за уборку помещений 42464, ИНН 272297506669",5
Медицинская компенсация по судебному решению 29282 (Сергеева и партнеры),1
Аванс за работу ИНН 328866991976 срочно,3
"Срочный: Перечисление средств по исп. документу 39060 о возмещении вреда жизни, ИНН 359217170737, ИНН 573636637162",1
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 9125,5
Срочный: ОПЛАТА БАНКОВСКИХ УСЛУГ 8773,5
Оплата услуг связи по договору 96334 с НДС Лазурный без НДС,5
Срочный: Благотворительное пожертвование 53570,5
Платеж по страховому случаю 86360 (вред здоровью) (основание: договор 231) без НДС,1
"ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 82540 (ОСНОВАНИЕ: ДОГОВОР 823), ИНН 209100869390",5
Срочный: Срочный: Срочный: Исполнительный лист №68311 о возмещении вреда здоровью,1
Возврат займа контрагенту 57709 с НДС Оранжевый,5
"Платежное поручение на налог на прибыль 80393 без НДС, ИНН 674140244137, ИНН 511409007883",3
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 62438,5
"Перечисление средств по исп. документу 41868 о возмещении вреда жизни, ИНН 776701887450",1
"Перечисление НДФЛ за сотрудников по платежке 53999, ИНН 570791598261, ИНН 429581338104",3
Платеж за юридические услуги 7495,5
НАЛОГОВЫЙ ПЕРЕЧИСЛЕНИЕ В БЮДЖЕТ РФ номер 13617 Пурпурный,3
Срочный: Благотворительное пожертвование 18831 (НПО «Архипова»),5
"ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 34405 (ОСНОВАНИЕ: ДОГОВОР 399), ИНН 905421882123",5
ЗЕМЕЛЬНЫЙ НАЛОГ 86986 Коричневый без НДС,3
"Взыскание алиментов по исп. листу 87441, ИНН 188071410281, ИНН 660892581574 от 24.05.2025",1
Платеж за юридические услуги 95941 Аквамарин без НДС,5
Медицинская компенсация по судебному решению 14620 Розовато-лавандовый,1
Срочный: Перечисление НДФЛ за сотрудников по платежке 96872 Сливовый от 02.12.2024,3
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 49680,1
"Оплата услуг связи по договору 48394, ИНН 385719050663, ИНН 638422765250, ИНН 526427831792",5
"Перечисление за аренду офиса 19940 (ИП «Рожкова, Бирюкова и Корнилова»)",5
Возврат займа контрагенту 42082 (Элко Рус (Elko)) (основание: договор 262) от 12.09.2024,5
Перечисление за аренду офиса 87407 (Бобров Групп),5
Исполнительное производство 86375 о возмещении вреда здоровью Сине-фиолетовый,1
"Платеж за юридические услуги 79913, ИНН 742302039227 без НДС Золотой",5
Водный налог 64017 (основание: договор 954) Светло-розовый (основание: договор 374),3
Срочный: Исполнительный лист №50299 о возмещении вреда здоровью без НДС,1
Возврат займа контрагенту 15925 Сине-фиолетовый от 14.03.2025 от 20.05.2025,5
"Платеж по страховому случаю 42082 (вред здоровью) от 11.02.2025, ИНН 199426842906, ИНН 288023469723",1
Срочный: Платеж за уборку помещений 45796 (основание: договор 171),5
"Страховые взносы в ПФР по квитанции 28498 с НДС, ИНН 342909182126 от 17.01.2025",3
Платеж по страховому случаю 20551 (вред здоровью) Красный Темно-розовый,1
"Страховые взносы в ПФР по квитанции 69636 (ИП «Шилов, Фомин и Носов»)",3
СРОЧНЫЙ: ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 75673 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ С НДС,1
Возмещение ущерба здоровью по исп. листу 93773 с НДС с НДС,1
"Оплата рекламных услуг 92321, ИНН 724611270167, ИНН 254427907694",5
Медицинская компенсация по судебному решению 70689 от 13.10.2024 (основание: договор 530),1
Налог на имущество организаций 26770 (ООО «Сорокин-Цветкова»),3
Благотворительное пожертвование 44052 Желтый,5
Страховые отчисления в ПФР по квитанции 84213 (Эркафарм),3
ФСС: ВЗНОСЫ НА ТРАВМАТИЗМ 1522 (АО «Беляева-Макаров») (ОАО «Рябова Иванов»),3
"Оплата рекламных услуг 6500 с НДС (НПО «Дементьева, Жданова и Беляков»)",5
Оплата рекламных услуг 34605 от 12.06.2024,5
СРОЧНЫЙ: ОПЛАТА УСЛУГ ОХРАНЫ 18953,5
Срочный: Налог на имущество организаций 39471,3
"Срочный: Перечисление за аренду офиса 66650 без НДС (ООО «Виноградова, Боброва и Дорофеева»)",5
Перечисление средств по исп. документу 80432 о возмещении вреда жизни,1
"Перечисление за программное обеспечение 65403, ИНН 507390460777 (ОАО «Бирюкова Комаров») Хаки",5
Срочный: Платеж за уборку помещений 57323 от 15.07.2024,5
Срочный: Оплата хостинга за Июль 43499,5
Компенсация по накладной ИНН 756883533740 КПП 746707651,5
"Платеж за уборку помещений 52556, ИНН 806798539861 (ООО «Князева-Кудряшова»)",5
"Перечисление за программное обеспечение 10834, ИНН 193562363837",5
Срочный: Таможенные платежи по декларации 70569,3
Исполнительное производство 82355 о возмещении вреда здоровью (АО «Данилова»),1
СРОЧНЫЙ: ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 63282 ОТ 19.07.2024,5
"Оплата услуг охраны 78352, ИНН 998357976345 (ИП «Русакова, Громов и Герасимова») с НДС",5
Доплата по заказу срочно неотложный платеж,5
Перечисление за программное обеспечение 52487 от 04.01.2025 (Лыткин Групп),5
Срочный: Платеж за проведение тренинга 30389,5
Перечисление средств по исп. документу 27015 о возмещении вреда жизни (основание: договор 693),1
Платеж за юридические услуги 37151 Пурпурный,5
Оплата услуг охраны 43736 с НДС (Быкова и партнеры) от 25.05.2025,5
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 9346 БЕЗ НДС,5
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 3209,5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 40597 от 21.10.2024,5
"Срочный: Компенсация морального вреда по решению суда 39380, ИНН 917128676647",1
Платеж за уборку помещений 35327 с НДС Каштановый (основание: договор 640),5
"Компенсация морального вреда по решению суда 77291 с НДС, ИНН 171799544215",1
Возврат займа контрагенту 33886 Бледно-Бирюзовый,5
Оплата рекламных услуг 97422 с НДС (Зайцева Лимитед),5
Оплата услуг охраны 94199 Каштановый,5
Срочный: НДС за 2 квартал 2023 94825 Слоновая кость,3
"Медицинская компенсация по судебному решению 96456 Фуксия, ИНН 618364728949 от 26.03.2025",1
Срочный: ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 43215 (ВРЕД ЗДОРОВЬЮ) без НДС,1
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 80789 (основание: договор 236),5
"Оплата командировочных расходов 84690 (НПО «Коновалова, Емельянова и Исакова») (основание: договор 588), ИНН 527023994031",5
Срочный: Оплата услуг связи по договору 60713 Античный Белый,5
Платеж за уборку помещений 93907 (основание: договор 435) с НДС,5
"ЕНВД за отчетный период 50901 (Рябова и партнеры), ИНН 591090996211 (Компания Луис Дрейфус Восток (Louis Dreyfus))",3
Перечисление НДФЛ за сотрудников по платежке 63270 (РАО «Кулаков Ильина»),3
Срочный: Оплата хостинга за Июль 28376 (основание: договор 930),5
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 59749 от 11.03.2025 без НДС,5
Пенсионные отчисления за Июль 2023 54168,3
Платеж за поставку канцтоваров 9953 Черный,5
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 45005 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (основание: договор 543),1
Исполнительное производство 76803 о возмещении вреда здоровью с НДС,1
Срочный: НДС ЗА 2 КВАРТАЛ 2023 30824,3
Платеж за юридические услуги 10996 от 27.09.2024,5
Срочный: Перечисление за программное обеспечение 90334 от 24.04.2025,5
Платеж за юридические услуги 63947 с НДС,5
Срочный: Платежное поручение на налог на прибыль 78290 (основание: договор 324),3
Платежное поручение на налог на прибыль 17365 (основание: договор 419) без НДС от 10.08.2024,3
"Возврат займа контрагенту 94979, ИНН 719011254812 (основание: договор 994) Ярко-розовый",5
Взыскание алиментов по исп. листу 27198 Индиго,1
"Оплата командировочных расходов 34063, ИНН 146832197133",5
ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 8624,5
Срочный: Налог на имущество организаций 29328,3
Пенсионные взносы за Июль 2023 90197 с НДС,3
НДС ЗА 2 КВАРТАЛ 2023 87469,3
Срочный: Водный налог 66776 от 06.11.2024,3
"Оплата командировочных расходов 1927 (основание: договор 982), ИНН 748419754865",5
"ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 91448, ИНН 962153076854 Тусклый серый",5
Срочный: ЗЕМЕЛЬНЫЙ НАЛОГ 74198 (основание: договор 222),3
"Возмещение ущерба здоровью по исп. листу 61561 (ОАО «Якушев, Игнатьева и Колобова»)",1
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 46657 (АО «ПАВЛОВА КАПУСТИН»),5
Срочный: Взыскание алиментов по исп. листу 18341 Шоколадный Черный,1
"ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 813, ИНН 686067932752 с НДС",5
Срочный: Страховые взносы в ПФР по квитанции 28054 без НДС от 01.07.2024,3
Оплата командировочных расходов 96371 с НДС,5
ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 4670,5
Благотворительное пожертвование 66981 Оранжево-красный Васильковый,5
Платеж за юридические услуги 40977 без НДС от 10.08.2024 (основание: договор 833),5
"ОПЛАТА УСЛУГ ОХРАНЫ 82288, ИНН 660524048000 от 16.03.2025",5
Срочный: Налог на имущество организаций 38945,3
"ФСС: взносы на травматизм 31963, ИНН 288832341169 (основание: договор 602)",3
Срочный: Платеж за юридические услуги 76106,5
"Платеж за юридические услуги 87785, ИНН 411478434826 Желто-зеленый",5
ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 34269 ОТ 06.12.2024 Малиновый,5
Исполнительный лист №97179 о возмещении вреда здоровью,1
"Срочный: Платеж за юридические услуги 26059, ИНН 552836298953",5
Страховые взносы в ПФР по квитанции 50715 Светло-зеленый (основание: договор 669) (основание: договор 741),3
"ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 82174 Аквамарин, ИНН 977906683961",1
Оплата рекламных услуг 73244,5
Перечисление за аренду оборудования 33440,5
Срочный: Платеж за поставку канцтоваров 76532 (основание: договор 445),5
Срочный: Земельный налог 18059 от 25.03.2025,3
Благотворительное пожертвование 14427 с НДС,5
Платеж за проведение тренинга 67479 от 27.04.2025,5
"Перечисление за программное обеспечение 34254 (ЗАО «Сорокин, Абрамов и Зайцев»), ИНН 859644499327",5
Перечисление за аренду оборудования 70390 от 05.10.2024 (АО «Белова Быкова») от 16.04.2025,5
"Оплата командировочных расходов 66256 (ЗАО «Уваров, Николаев и Колобов»)",5
ОПЛАТА БАНКОВСКИХ УСЛУГ 80542 (АО «Игнатьев»),5
Срочный: Оплата банковских услуг 16812 (Уварова и партнеры),5
Перечисление за программное обеспечение 24009 с НДС (основание: договор 228),5
КОМПЕНСАЦИЯ МОРАЛЬНОГО ВРЕДА ПО РЕШЕНИЮ СУДА 42893 БЕЗ НДС,1
Вознаграждение за услуги ЗАО «Субботина-Павлов» неотложный платеж,5
Взыскание алиментов по исп. листу 74304 (основание: договор 418),1
Оплата рекламных услуг 37573 от 24.04.2025,5
Пенсионные взносы за Июль 2023 89546 с НДС Темно-красный,3
Благотворительное пожертвование 77633 от 22.03.2025,5
Срочный: Платеж за юридические услуги 85518 от 05.11.2024 Розовато-лавандовый,5
"Платеж за юридические услуги 97061, ИНН 653217977433",5
Перечисление средств по исп. документу 14210 о возмещении вреда жизни от 01.03.2025,1
Платежное поручение на налог на прибыль 13499,3
Возврат займа контрагенту 41749 с НДС (основание: договор 463),5
Срочный: Платеж за юридические услуги 94832 от 13.03.2025 от 25.03.2025,5
Платеж за юридические услуги 62285 (ИП «Давыдова Устинов»),5
"Оплата услуг охраны 16042 (РАО «Панова Карпова») без НДС, ИНН 204300829474",5
Перечисление за аренду офиса 11772 от 27.09.2024,5
"ОПЛАТА УСЛУГ ОХРАНЫ 63412, ИНН 587226748630",5
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 51248,5
"ЕНВД за отчетный период 33951, ИНН 218550823161",3
Медицинская компенсация по судебному решению 3941 с НДС (X5 Retail Group),1
Возмещение ущерба здоровью по исп. листу 82266,1
Перечисление за программное обеспечение 21324 без НДС,5
"Пенсионные отчисления за Июль 2023 50724 (РАО «Ларионов, Павлова и Артемьев»)",3
ФСС: ВЗНОСЫ НА ТРАВМАТИЗМ 7184 КОРАЛЛОВЫЙ,3
Оплата услуг связи по договору 56660 (основание: договор 324) от 07.06.2024 с НДС,5
"УСН перечисление 80034, ИНН 378714416666 (ОПХ (Heineken))",3
Перечисление средств по исп. документу 73433 о возмещении вреда жизни от 11.02.2025,1
"Оплата командировочных расходов 37425 (РАО «Маслов, Архипова и Кириллов») без НДС от 18.01.2025",5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 56679,5
Перечисление за аренду офиса 90435 от 03.07.2024,5
"Оплата банковских услуг 51057 от 10.07.2024 (основание: договор 516), ИНН 461099554455",5
"УСН платеж 26761 (НПО «Тихонов, Соколова и Филиппова»)",3
"Срочный: Пенсионные взносы за Июль 2023 33930, ИНН 625681109865, ИНН 481844382913",3
Платежное поручение на налог на прибыль 59329 с НДС от 08.01.2025,3
Благотворительное пожертвование 17408 (РАО «Данилов-Константинов») с НДС с НДС,5
Срочный: Медицинская компенсация по судебному решению 58332 (Брагин Инк),1
УСН платеж 12739 с НДС,3
ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 40838,5
Взыскание алиментов по исп. листу 94017 от 26.09.2024 от 05.06.2024,1
Перевод средств по акту без НДС,5
"Налог на имущество организаций 2865 с НДС, ИНН 559165231502",3
"Оплата услуг связи по договору 23096 без НДС, ИНН 714951879765",5
Оплата хостинга за Июль 21925 (основание: договор 133),5
"УСН перечисление 52881, ИНН 998698722303",3
"Перечисление за программное обеспечение 48713, ИНН 255833863536",5
"Платеж за проведение тренинга 98577, ИНН 981736275151",5
Перечисление за программное обеспечение 8585 (ОАО «Михайлова»),5
"Оплата банковских услуг 87407, ИНН 908886668058 Синий с НДС",5
Срочный: Срочный: Перечисление НДФЛ за сотрудников по перечислениеке 90018,3
"Платеж за юридические услуги 48168, ИНН 482482204109, ИНН 783068435963",5
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 99478,5
Срочный: Пенсионные отчисления за Июль 2023 26704,3
Налог на имущество организаций 34523 Светло-серый с НДС,3
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 24200 АКВАМАРИН ОТ 23.12.2024,5
"Срочный: Перечисление НДФЛ за сотрудников по платежке 83598, ИНН 446689993085 (РАО «Игнатьева, Носкова и Веселова»)",3
ФСС: отчисления на травматизм 58473 без НДС (АО «Вишнякова»),3
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 21260 ОТ 15.05.2025,5
"Водный налог 86233, ИНН 247902032092 от 19.07.2024",3
Возврат за работу без НДС,3
"Пенсионные взносы за Июль 2023 17437, ИНН 458147928374 Цвет морской волны",3
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 62191,5
"Оплата командировочных расходов 72938 от 07.11.2024, ИНН 806297697509 от 30.06.2024",5
Земельный налог 54926 от 05.07.2024,3
"Компенсация морального вреда по решению суда 95568 Светло-серый, ИНН 917257607481",1
УСН перечисление 73420 с НДС,3
"Платеж за проведение тренинга 50242 (ОАО «Калинина Григорьева»), ИНН 715477642438",5
Платеж по страховому случаю 77292 (вред здоровью) (основание: договор 875),1
"Оплата рекламных услуг 38052, ИНН 538940098874 Сине-фиолетовый",5
Платеж за уборку помещений 38506 (РАО «Емельянов») Светло-синий Черный,5
Благотворительное пожертвование 34053 (основание: договор 486),5
Оплата банковских услуг 81933 (основание: договор 496),5
